"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
1272,"2018-03-24 01:30:00","Buenos Aires","Vicente López","Olivos","Por aspecto físico","","En el acceso local - En las proximidades del local","Controladores - Personal de empresas de seguridad","","","Derivado","2018-04-04","Página web de RENCAP ","2018-03-24 01:54:00","06"
1273,"2018-03-24 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión física","","Derivado","2018-03-27","Call Center","2018-03-26 10:41:00","02"
1274,"2018-03-25 04:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2018-03-27","Call Center","2018-03-26 12:43:00","02"
1275,"2018-03-31 03:29:00","Buenos Aires","Tigre","El Talar","Otros","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física - Agresión sexual","","Derivado","2018-04-04","Página web de RENCAP ","2018-03-31 14:39:00","06"
1277,"2018-03-30 03:00:00","Buenos Aires","Bragado","Bragado","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2018-04-05","Call Center","2018-04-05 09:28:00","06"
1278,"2018-04-07 03:00:00","Buenos Aires","La Matanza","Ramos Mejía","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-04-17","Call Center","2018-04-09 11:07:00","06"
1279,"2018-04-12 23:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2018-04-17","Página web de RENCAP ","2018-04-16 10:19:00","02"
1285,"2018-05-12 03:00:00","Buenos Aires","Quilmes","Quilmes","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el acceso local","","","","Derivado","2018-05-14","Página web de RENCAP ","2018-05-12 13:25:00","06"
1286,"2018-05-13 02:15:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por aspecto físico - Racial","","En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2018-06-04","Página web de RENCAP ","2018-05-19 21:25:00","02"
1287,"2018-05-13 02:15:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por aspecto físico - Racial","","En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Desestimado","2018-06-11","Página web de RENCAP ","2018-05-19 21:45:00","02"
1288,"2018-05-20 02:35:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Otros","","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-06-05","Página web de RENCAP ","2018-05-20 19:42:00","02"
1294,"2018-05-19 03:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Belgrano","","","En el interior del local - En el acceso local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial","Derivado","2018-05-29","Página web de RENCAP ","2018-05-21 14:34:00","02"
1297,"2018-05-20 02:20:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-05-29","Call Center","2018-05-28 09:10:00","02"
1298,"2018-06-03 19:15:00","Mendoza","Godoy Cruz","GODOY CRUZ","","El personal de control no esta identificado","En las proximidades del local","","","Se solicitó asistencia policial","Desestimado","2018-06-11","Página web de RENCAP ","2018-06-03 21:21:00","50"
1299,"2018-05-22 22:00:00","Buenos Aires","Mar Chiquita","Cnel. Vidal","Otros","","","","","Se hizo denuncia policial","Desestimado","2018-06-11","Página web de RENCAP ","2018-06-06 11:17:00","06"
1300,"2018-06-20 07:12:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","","","En el interior del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2018-06-26","Página web de RENCAP ","2018-06-20 14:23:00","02"
1303,"2018-04-09 11:00:00","Misiones","Posadas","POSADAS","","","","","Agresión física - Agresión sexual","Se hizo denuncia ante la fiscalia","Desestimado","2018-07-06","Página web de RENCAP ","2018-06-29 15:10:00","54"
1304,"2018-07-02 14:30:00","Mendoza","Las Heras","LAS HERAS","Otros","","En las proximidades del local","","","","Desestimado","2018-07-06","Página web de RENCAP ","2018-07-02 20:36:00","50"
1305,"2018-07-07 04:00:00","Buenos Aires","Navarro","Navarro","","Presencia de menores","En el interior del local","","","","Derivado","2018-07-10","Call Center","2018-07-10 15:26:00","06"
1307,"2018-07-07 02:15:00","Buenos Aires","Esteban Echeverría","Monte Grande","Por indumentaria","","En el acceso local","Personal de empresas de seguridad","","","Derivado","2018-07-17","Call Center","2018-07-13 16:20:00","06"
1308,"2018-07-15 06:30:00","Buenos Aires","Escobar","Ing. Maschwitz","","","En el interior del local","Personal de empresas de seguridad","Agresión física","","Derivado","2018-08-03","Página web de RENCAP ","2018-07-15 14:07:00","06"
1314,"2018-07-21 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Otros","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-07-30","Página web de RENCAP ","2018-07-24 12:16:00","02"
1318,"2018-07-12 01:03:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","","","Derivado","2018-07-27","Página web de RENCAP ","2018-07-26 01:06:00","02"
1319,"2018-07-14 01:30:00","Buenos Aires","Lanús","Lanús Oeste","Por aspecto físico - Racial","","En el acceso local","Controladores - Personal de empresas de seguridad","","Se solicitó asistencia policial","Derivado","2018-08-08","Página web de RENCAP ","2018-08-07 15:51:00","06"
1320,"2018-08-10 02:30:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores","Agresión verbal","","Derivado","2018-08-17","Página web de RENCAP ","2018-08-12 01:21:00","14"
1325,"2018-08-12 07:00:00","Buenos Aires","Marcos Paz","Marcos Paz","Otros","","En el interior del local - En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2018-08-17","Página web de RENCAP ","2018-08-14 16:14:00","06"
1339,"2018-08-19 02:42:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Otros","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-08-24","Página web de RENCAP ","2018-08-21 16:43:00","02"
1340,"2018-08-18 05:05:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","","","En las proximidades del local","Controladores - Personal de empresas de seguridad","Agresión física","","Derivado","2018-08-22","Call Center","2018-08-22 16:52:00","02"
1341,"2018-08-20 01:45:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Otros","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-08-24","Página web de RENCAP ","2018-08-22 22:31:00","02"
1363,"2018-08-26 04:30:00","Buenos Aires","Quilmes","Quilmes","Otros - Racial","El personal de control no esta identificado","En el interior del local","Personal de empresas de seguridad - Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2018-09-07","Página web de RENCAP ","2018-09-03 11:14:00","06"
1369,"2018-09-16 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Recoleta","Por aspecto físico","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2018-09-24","Página web de RENCAP ","2018-09-16 09:57:00","02"
1370,"2018-09-16 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-10-02","Página web de RENCAP ","2018-09-16 15:42:00","02"
1371,"2018-09-21 01:45:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Otros","Presencia de menores","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-09-24","Página web de RENCAP ","2018-09-22 21:49:00","02"
1372,"2018-09-23 02:30:00","Santa Fe","Rosario","Rosario","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-10-02","Página web de RENCAP ","2018-09-23 03:59:00","82"
1375,"2018-09-30 03:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","","Personal de empresas de seguridad","Agresión física","Se hizo denuncia policial","Derivado","2018-10-03","Página web de RENCAP ","2018-09-30 15:10:00","02"
1376,"2018-08-04 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores","Agresión verbal","","Derivado","2018-10-03","Página web de RENCAP ","2018-09-30 17:32:00","02"
1377,"2018-10-01 01:44:00","Buenos Aires","Lanús","Lanús Oeste","Otros","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Desestimado","2018-10-09","Página web de RENCAP ","2018-10-02 11:31:00","06"
1378,"2018-09-28 10:12:00","La Rioja","La Rioja","LA RIOJA","Otros","","En el interior del local","Controladores - Personas vinculadas a la empresa","","","Desestimado","2018-10-09","Página web de RENCAP ","2018-10-04 23:59:00","46"
1379,"2018-10-07 00:10:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Urquiza","","Otros","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-11-02","Página web de RENCAP ","2018-10-07 09:42:00","02"
1380,"2018-10-06 21:47:00","Ciudad Autónoma de Buenos Aires","Barrio Chacarita","","Por aspecto físico - Racial","El personal de control no esta identificado","En el acceso local","","","","Derivado","2018-10-10","Página web de RENCAP ","2018-10-09 16:15:00","02"
1389,"2018-10-10 12:00:00","Buenos Aires","La Matanza","Gonzalez Catán","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el interior del local","","","","Desestimado","2018-11-07","Call Center","2018-10-11 14:43:00","06"
1390,"2018-07-07 03:15:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","","Derivado","2018-10-23","Página web de RENCAP ","2018-10-17 03:01:00","02"
1391,"2018-07-07 03:05:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","","Desestimado","2018-10-25","Página web de RENCAP ","2018-10-17 03:10:00","02"
1392,"2018-10-20 04:00:00","Buenos Aires","La Matanza","I. Casanova","","Presencia de menores","En el interior del local","Personal de empresas de seguridad","","","Derivado","2018-10-23","Call Center","2018-10-22 15:46:00","06"
1393,"2018-08-05 01:43:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico","No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2018-11-02","Página web de RENCAP ","2018-10-22 23:29:00","02"
1395,"2018-10-19 00:30:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por orientacion sexual","No exhibe nomina de personal de control habilitado","En el interior del local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2018-10-24","Página web de RENCAP ","2018-10-23 18:12:00","14"
1396,"2018-10-21 03:00:00","Córdoba","Villa de Soto","","","","En el interior del local","Policias","Agresión física","","Derivado","2018-11-02","Página web de RENCAP ","2018-10-23 22:49:00","14"
1397,"2018-10-28 02:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores","","","Derivado","2018-11-02","Call Center","2018-10-29 15:42:00","06"
1398,"2018-09-15 02:00:00","Buenos Aires","Luján","Luján","Por aspecto físico - Por indumentaria - Racial","Hay mas personas que las permitidas por la habilitación","En el interior del local - En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2018-11-02","Página web de RENCAP ","2018-10-29 15:51:00","06"
1399,"2018-05-09 06:21:00","Santa Cruz","Las Heras","LAS HERAS","Otros","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","Se hizo denuncia policial - Se hizo denuncia ante la fiscalia","Desestimado","2018-11-07","Página web de RENCAP ","2018-11-02 16:25:00","78"
1400,"2018-11-03 05:30:00","Buenos Aires","La Plata","La Plata","","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2018-11-05","Call Center","2018-11-05 09:52:00","06"
1401,"2018-11-03 00:04:00","San Luis","Villa Mercedes","","Por indumentaria","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2018-11-06","Página web de RENCAP ","2018-11-05 10:02:00","74"
1402,"2018-11-03 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Controladores","Agresión verbal","","Derivado","2018-11-06","Call Center","2018-11-06 14:39:00","02"
1403,"2018-11-11 05:00:00","Buenos Aires","Malvinas Argentinas","Los Polvorines","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores","Agresión física","","Derivado","2018-11-21","Página web de RENCAP ","2018-11-11 15:20:00","06"
1404,"2018-11-12 01:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En el interior del local","Personal de empresas de seguridad","Agresión física","Se hizo denuncia policial","Derivado","2018-11-15","Call Center","2018-11-14 15:34:00","02"
1405,"2018-11-16 03:34:00","Córdoba","Córdoba","CORDOBA","Otros","","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","","Se solicitó asistencia policial","Derivado","2018-11-27","Página web de RENCAP ","2018-11-16 04:39:00","14"
1406,"2018-11-14 21:00:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2018-11-20","Página web de RENCAP ","2018-11-16 23:04:00","02"
1407,"2018-11-16 03:33:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por orientacion sexual","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2018-12-04","Página web de RENCAP ","2018-11-18 12:40:00","06"
1408,"2018-11-21 03:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2018-12-03","Página web de RENCAP ","2018-11-23 15:53:00","02"
1409,"2018-11-21 03:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Desestimado","2018-11-28","Página web de RENCAP ","2018-11-23 15:55:00","02"
1410,"2018-11-25 22:00:00","Buenos Aires","La Plata","La Plata","Por aspecto físico - Por indumentaria - Otros - Por religion - Por ideologia","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","","Agresión verbal - Agresión física","","Derivado","2018-12-04","Página web de RENCAP ","2018-11-30 17:39:00","06"
1411,"2018-12-04 03:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","Personas vinculadas a la empresa","Agresión física","","Derivado","2018-12-05","Página web de RENCAP ","2018-12-04 17:31:00","02"
1427,"2018-12-16 01:30:00","Entre Ríos","Paraná","PARANA","Por aspecto físico - Por orientacion sexual - Por indumentaria","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa - Policias","","","Derivado","2018-12-18","Página web de RENCAP ","2018-12-17 01:17:00","30"
1438,"2019-01-06 22:45:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","San Telmo","Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2019-01-21","Página web de RENCAP ","2019-01-07 04:18:00","02"
1439,"2019-01-07 00:34:00","Buenos Aires","Pilar","","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal - Agresión física","","Derivado","2019-01-09","Página web de RENCAP ","2019-01-08 18:37:00","06"
1446,"2019-01-13 02:00:00","Buenos Aires","- Gobierno Provincial -","","","","En el interior del local","Controladores","Agresión física","","Derivado","2019-01-15","Call Center","2019-01-15 17:35:00","06"
1450,"2019-01-12 02:00:00","Buenos Aires","Berazategui","Berazategui","Otros","El personal de control no esta identificado","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2019-01-16","Página web de RENCAP ","2019-01-16 09:42:00","06"
1451,"2019-01-12 02:00:00","Buenos Aires","Berazategui","Berazategui","Por aspecto físico","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Desestimado","2019-02-06","Call Center","2019-01-16 12:09:00","06"
1452,"2019-01-13 01:00:00","Buenos Aires","Luján","Luján","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - Presencia de menores","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2019-01-21","Página web de RENCAP ","2019-01-17 10:17:00","06"
1453,"2019-01-27 06:50:00","Buenos Aires","La Matanza","Ramos Mejía","Otros","","En el interior del local","Personal de empresas de seguridad","Agresión física","","Derivado","2019-02-04","Página web de RENCAP ","2019-01-27 07:51:00","06"
1457,"2019-02-03 03:30:00","Buenos Aires","Moreno","Moreno","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado - Presencia de menores","","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-02-04","Página web de RENCAP ","2019-02-03 21:23:00","06"
1458,"2019-01-24 03:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por orientacion sexual - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores","Agresión verbal","","Derivado","2019-02-06","Call Center","2019-02-05 18:19:00","06"
1462,"2019-02-24 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por orientacion sexual - Otros - Racial","","En el acceso local","Controladores","","","Derivado","2019-02-25","Página web de RENCAP ","2019-02-25 12:48:00","02"
1463,"2019-03-09 02:30:00","Buenos Aires","Pilar","Pilar","","Presencia de menores","","","","","Derivado","2019-03-18","Página web de RENCAP ","2019-03-13 14:07:00","06"
1464,"2019-03-16 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el acceso local","Controladores","Agresión verbal","","Derivado","2019-04-01","Call Center","2019-03-18 15:01:00","02"
1475,"2019-03-24 02:44:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","Por aspecto físico","","","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-04-01","Página web de RENCAP ","2019-03-24 09:51:00","50"
1476,"2019-03-24 02:04:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","Por aspecto físico","","","Personas vinculadas a la empresa","Agresión verbal","","Desestimado","2019-04-09","Página web de RENCAP ","2019-03-24 10:06:00","50"
1479,"2019-04-06 00:00:00","Buenos Aires","Pilar","Del Viso","Por aspecto físico","No exhibe condiciones de adminsión y permanencia","En el acceso local","","","","Derivado","2019-04-16","Página web de RENCAP ","2019-04-06 01:02:00","06"
1480,"2019-04-06 02:40:00","Buenos Aires","La Matanza","Ramos Mejía","Por aspecto físico - Por indumentaria","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-05-06","Página web de RENCAP ","2019-04-09 14:43:00","06"
1481,"2019-04-13 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","Agresión verbal","","Derivado","2019-04-15","Página web de RENCAP ","2019-04-13 19:08:00","02"
1482,"2019-04-14 01:30:00","Buenos Aires","Lanús","Lanús","Racial","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Derivado","2019-04-22","Página web de RENCAP ","2019-04-14 20:09:00","06"
1483,"2019-04-20 04:30:00","Buenos Aires","Malvinas Argentinas","Los Polvorines","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores - Personal de empresas de seguridad","Agresión física","","Derivado","2019-04-22","Página web de RENCAP ","2019-04-20 17:47:00","06"
1484,"2019-04-28 04:50:00","Buenos Aires","de La Costa","San Bernardo","","","En el acceso local","Personas vinculadas a la empresa","Agresión física","","Derivado","2019-05-02","Página web de RENCAP ","2019-04-30 17:41:00","06"
1486,"2019-05-19 01:45:00","Buenos Aires","Bahía Blanca","Bahía Blanca","Por ideologia - Racial","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2019-06-03","Página web de RENCAP ","2019-05-19 03:33:00","06"
1495,"2019-05-19 01:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","","Derivado","2019-05-20","Call Center","2019-05-20 15:53:00","06"
1496,"2019-05-15 05:55:00","Salta","Salta","","Otros","","","Personal de empresas de seguridad","Agresión física","","Derivado","2019-06-03","Página web de RENCAP ","2019-05-21 21:56:00","66"
1497,"2019-06-01 02:30:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores","Agresión verbal","","Derivado","2019-06-05","Call Center","2019-06-04 17:39:00","06"
1498,"2019-02-22 01:42:00","Chaco","Resistencia","RESISTENCIA","Otros","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-06-14","Página web de RENCAP ","2019-06-13 18:46:00","22"
1499,"2019-06-16 03:01:00","Buenos Aires","Patagones","Villalonga","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2019-06-18","Página web de RENCAP ","2019-06-16 01:09:00","06"
1500,"2019-06-16 02:15:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-06-21","Página web de RENCAP ","2019-06-16 03:26:00","02"
1501,"2019-06-14 22:00:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","Por orientacion sexual","","En el interior del local","Personas vinculadas a la empresa","","","Derivado","2019-06-18","Página web de RENCAP ","2019-06-17 08:59:00","02"
1502,"2019-06-30 01:04:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores","Agresión verbal","","Derivado","2019-07-05","Página web de RENCAP ","2019-06-30 12:58:00","14"
1503,"2019-06-22 17:45:00","Buenos Aires","Esteban Echeverría","Monte Grande","Otros","","","","","","Desestimado","2019-07-11","Página web de RENCAP ","2019-07-02 09:06:00","06"
1504,"2019-06-30 01:06:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Desestimado","2019-07-18","Página web de RENCAP ","2019-07-02 09:57:00","14"
1505,"2019-06-21 02:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria - Otros - Racial","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","Agresión verbal - Agresión física","","Derivado","2019-07-22","Página web de RENCAP ","2019-07-04 14:09:00","02"
1507,"2019-06-28 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","","","Desestimado","2019-08-08","Página web de RENCAP ","2019-07-04 19:30:00","02"
1510,"2019-03-15 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2019-07-18","Página web de RENCAP ","2019-07-06 11:35:00","02"
1511,"2019-07-05 01:59:00","Buenos Aires","Junín","Junín","Por indumentaria","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2019-07-11","Página web de RENCAP ","2019-07-07 18:59:00","06"
1512,"2019-05-25 01:30:00","Buenos Aires","San Isidro","San Isidro","Por indumentaria","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2019-07-10","Página web de RENCAP ","2019-07-07 21:47:00","06"
1513,"2019-07-05 01:26:00","Buenos Aires","Junín","Junín","Por aspecto físico - Por indumentaria","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Desestimado","2019-07-17","Página web de RENCAP ","2019-07-11 14:30:00","06"
1517,"2018-08-11 03:00:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico - Por indumentaria","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2019-08-05","Página web de RENCAP ","2019-07-15 23:05:00","06"
1518,"2019-07-20 01:00:00","Buenos Aires","La Plata","Tolosa","Otros","","En el acceso local","Personal de empresas de seguridad","","","Derivado","2019-07-23","Página web de RENCAP ","2019-07-21 17:18:00","06"
